Year,Region,Weapons type
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Other
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Melee
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Incendiary
2003,Eastern Europe,Incendiary
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Incendiary
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Unknown
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Melee
2003,Eastern Europe,Explosives
2003,Eastern Europe,Firearms
2003,Eastern Europe,Firearms
2003,Eastern Europe,Melee
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Explosives
2003,Eastern Europe,Chemical
2003,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Firearms
2004,Eastern Europe,Chemical
2004,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Unknown
2004,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Firearms
2004,Eastern Europe,Melee
2004,Eastern Europe,Incendiary
2004,Eastern Europe,Incendiary
2004,Eastern Europe,Incendiary
2004,Eastern Europe,Explosives
2004,Eastern Europe,Firearms
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2004,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Sabotage Equipment
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Incendiary
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
